gene	mechanism
ABCB1	oncogene
ABI1	unknown
ABL1	oncogene
ABL2	oncogene
ACKR3	oncogene
ACSL3	oncogene
ACVR1	unknown
ACVR2A	tumor suppressor
ADGRB1	unknown
AFF1	oncogene
AFF3	unknown
AJUBA	tumor suppressor
AKT1	oncogene
AKT3	unknown
ALB	oncogene
ALK	oncogene
AMER1	tumor suppressor
APC	tumor suppressor
AR	oncogene
ARAF	oncogene
ARHGAP35	tumor suppressor
ARHGAP5	tumor suppressor
ARHGEF10	unknown
ARHGEF10L	tumor suppressor
ARHGEF12	oncogene
ARID1A	tumor suppressor
ARID1B	tumor suppressor
ARID2	tumor suppressor
ASXL1	tumor suppressor
ASXL2	tumor suppressor
ATF7IP	tumor suppressor
ATG7	tumor suppressor
ATM	tumor suppressor
ATR	tumor suppressor
ATRX	tumor suppressor
AXIN1	tumor suppressor
AXIN2	tumor suppressor
B2M	tumor suppressor
BAP1	tumor suppressor
BCL10	unknown
BCL11A	oncogene
BCL11B	oncogene
BCL2	oncogene
BCL2L12	unknown
BCL6	oncogene
BCL7A	oncogene
BCL9	oncogene
BCL9L	oncogene
BCLAF1	oncogene
BCOR	tumor suppressor
BCORL1	tumor suppressor
BCR	oncogene
BIRC3	oncogene
BIRC6	unknown
BMPR1A	tumor suppressor
BMPR2	tumor suppressor
BRAF	oncogene
BRCA1	tumor suppressor
BRCA2	tumor suppressor
BRD4	oncogene
BRD7	tumor suppressor
BTG1	unknown
BTK	oncogene
CACNA1D	unknown
CAMTA1	tumor suppressor
CARD11	oncogene
CARS	unknown
CASP8	tumor suppressor
CASZ1	tumor suppressor
CBFA2T3	oncogene
CBFB	oncogene
CBL	oncogene
CCDC6	tumor suppressor
CCND1	oncogene
CCND2	oncogene
CCND3	oncogene
CCR7	tumor suppressor
CD58	tumor suppressor
CD79B	oncogene
CDC73	tumor suppressor
CDH1	tumor suppressor
CDH10	oncogene
CDH11	unknown
CDK12	tumor suppressor
CDK4	oncogene
CDKN1A	tumor suppressor
CDKN1B	tumor suppressor
CDKN2A	tumor suppressor
CDKN2C	tumor suppressor
CDX2	oncogene
CEBPA	unknown
CHD2	tumor suppressor
CHD4	oncogene
CHEK2	tumor suppressor
CIC	tumor suppressor
CIITA	oncogene
CLIP1	tumor suppressor
CLTC	oncogene
CLTCL1	oncogene
CMTR2	tumor suppressor
CNOT3	oncogene
CNOT9	unknown
COL1A1	oncogene
CPEB3	oncogene
CR1	unknown
CREBBP	tumor suppressor
